id;asignation_date;expiration_date;assigned_score;score_used;score_balance;operation_amount;state
1;2021-10-21T00:37:47;2021-10-20T20:10:35;58552;30477;70823;94580;Realineado Personal pixel
2;2021-10-21T02:01:34;2021-10-20T20:54:13;14057;90668;83235;27012;e-commerce Agente Bacon
3;2021-10-20T18:11:14;2021-10-20T12:31:15;95244;62769;80302;13451;Card
4;2021-10-21T08:14:34;2021-10-20T15:47:43;30281;13922;94362;96544;Cambridgeshire Hormigon
5;2021-10-20T11:33:42;2021-10-20T16:26:10;23471;1596;26692;85050;Central
6;2021-10-20T21:10:51;2021-10-20T10:00:53;75507;21474;97972;5467;producto Morado Hogar
7;2021-10-20T19:15:33;2021-10-20T13:12:51;88928;15944;7208;142;recontextualize Money interfaces
8;2021-10-21T03:51:55;2021-10-20T11:34:19;53220;74921;5447;83471;Bedfordshire
9;2021-10-21T06:10:27;2021-10-21T07:53:00;12335;88122;60003;82690;redundant Savings Renminbi
10;2021-10-20T23:25:22;2021-10-20T11:26:34;99338;61692;7642;83742;Card amplio Organizado
