id;validity_start_date;validity_end_date;score_duration_days
1;2021-10-21T03:22:08;2021-10-21T03:23:29;91076
2;2021-10-21T08:03:56;2021-10-21T08:07:33;94565
3;2021-10-21T08:29:43;2021-10-21T02:02:13;7484
4;2021-10-20T09:56:02;2021-10-20T19:18:14;69333
5;2021-10-20T16:02:50;2021-10-21T02:10:08;52360
6;2021-10-21T08:18:04;2021-10-20T14:43:16;98658
7;2021-10-20T20:41:15;2021-10-21T01:42:12;54008
8;2021-10-20T16:44:42;2021-10-20T22:32:29;67532
9;2021-10-20T12:05:27;2021-10-20T16:03:30;85891
10;2021-10-20T10:01:09;2021-10-20T13:16:11;27382
